ticker,theme_slug,theme_label,linkage_one_liner,model_tier
CVS,health,Health Tech,Retail pharmacy plus Aetna — reimbursement pressure,full
CYBR,cyber,Cybersecurity & digital trust,Privileged access management — identity security,full
QBTS,quantum,Quantum / frontier compute,D-Wave annealing and quantum systems,full
DHR,auto,Industrial automation & robotics,Life sciences tools plus industrial diagnostics,full
DSY.PA,auto,Industrial automation & robotics,3DEXPERIENCE industrial software platform (Euronext Paris),full
DDOG,cyber,Cybersecurity & digital trust,Observability and cloud security telemetry,full
SRE,energy,Energy transition & grids,Sempra — LNG and California utilities,screen_only
DE,auto,Industrial automation & robotics,Agricultural equipment and precision ag software,full
QTUM,quantum,Quantum / frontier compute,WisdomTree Quantum Computing ETF — basket exposure,screen_only
DAL,fintech,Fintech & digital money,Airline — corporate travel and fleet,screen_only
DEMANT.CO,health,Health Tech,Hearing aids and audiological instruments (Copenhagen),full
DNN,energy,Energy transition & grids,ISR uranium developer — pre-production,full
XRAY,health,Health Tech,Dentsply Sirona dental equipment — channel inventory,full
DVN,energy,Energy transition & grids,Delaware Basin oil — variable dividend framework,full
DXCM,health,Health Tech,Continuous glucose monitoring — G7 and Stelo platforms,full
FANG,energy,Energy transition & grids,Permian pure-play — shareholder returns focus,full
DIOD,ai,AI infra & compute,Discrete and analog components — broad cyclical semi,full
D,energy,Energy transition & grids,Dominion — Virginia data centre load,screen_only
DASH,fintech,Fintech & digital money,DoorDash — delivery take-rate and ads,screen_only
DOV,auto,Industrial automation & robotics,Diversified industrial pumps and fueling,full
DRX.L,energy,Energy transition & grids,UK biomass and flexible generation (LSE),full
DUK,energy,Energy transition & grids,Large regulated electric footprint,full
DT,cyber,Cybersecurity & digital trust,Dynatrace observability — enterprise APM,full
ETN,auto,Industrial automation & robotics,Electrical gear and power management for data centres,full
SATS,quantum,Quantum / frontier compute,EchoStar / satellite connectivity — verify segment mix,full
EIX,energy,Energy transition & grids,California utility — wildfire mitigation,screen_only
EDIT,quantum,Quantum / frontier compute,Gene editing — ocular and liver,screen_only
EDPR.LS,energy,Energy transition & grids,EDP Renovaveis — pure-play renewables developer (Lisbon),full
EDP.LS,energy,Energy transition & grids,Portuguese utility and renewables (Lisbon),full
EW,health,Health Tech,Transcatheter heart valves TAVR leader — structural growth,full
ESTC,cyber,Cybersecurity & digital trust,Search analytics security SIEM competitor set,full
ESLT,auto,Industrial automation & robotics,Elbit Systems — defense electronics Israel and export,full
EA,ai,AI infra & compute,Video games — live services,screen_only
ELV,health,Health Tech,Anthem rebrand — commercial and gov mix,full
LLY,health,Health Tech,GLP-1 dominance (Mounjaro/Zepbound) and oncology pipeline,full
EMR,auto,Industrial automation & robotics,Automation and climate-industrial mix,full
ENB,energy,Energy transition & grids,Canadian midstream — Mainline tolls,screen_only
ENEL.MI,energy,Energy transition & grids,Italian utility and renewables developer (Milan),full
UUUU,energy,Energy transition & grids,ISR uranium plus rare earths optionality,full
ET,energy,Energy transition & grids,Midstream pipelines; check UK ISA tax treatment,full
ENGI.PA,energy,Energy transition & grids,French utility gas and renewables (Euronext Paris),full
ENPH,energy,Energy transition & grids,Residential solar inverters — cycle downturn hit hard,full
ENTG,ai,AI infra & compute,Materials purity for wafer fabs and advanced packaging,full
EPD,energy,Energy transition & grids,MLP — NGL exports and storage,screen_only
EOG,energy,Energy transition & grids,Premier shale operator — returns over growth,full
EPIR.ST,auto,Industrial automation & robotics,Mining equipment automation and digital services (Stockholm),full
EQNR,energy,Energy transition & grids,Norway state oil — dividend policy,screen_only
WTRG,energy,Energy transition & grids,Essential utilities water gas electric bundle,full
ETL.PA,quantum,Quantum / frontier compute,Eutelsat — satellite communications and GEO/LEO (Paris),full
ES,energy,Energy transition & grids,New England utility — offshore wind stakes,screen_only
MRAM,ai,AI infra & compute,Everspin MRAM — persistent memory niche,screen_only
EXAS,health,Health Tech,Exact Sciences CRC screening — guideline adoption,full
EXC,energy,Energy transition & grids,Nuclear-heavy utility — PJM exposure,full
EXPE,fintech,Fintech & digital money,OTA — B2B and loyalty recovery,screen_only
FAST,auto,Industrial automation & robotics,Fastenal vending and onsite inventory,full
FDX,auto,Industrial automation & robotics,Express and freight — DRIVE cost program,screen_only
FI,fintech,Fintech & digital money,Fiserv — merchant acquiring and issuer processing,screen_only
FIS,fintech,Fintech & digital money,Banking and capital markets technology,screen_only
FLY,auto,Industrial automation & robotics,Firefly Aerospace — launch and space systems (post-IPO),full
FSLR,energy,Energy transition & grids,Utility-scale thin-film solar modules,full
FE,energy,Energy transition & grids,Transmission investment story — regulatory lag risk,full
FLEX,ai,AI infra & compute,EMS / JDM manufacturing for hyperscale and networking gear,full
FLS,auto,Industrial automation & robotics,Flowserve pumps valves — energy capex cycle,full
FLNC,energy,Energy transition & grids,Grid-scale battery storage systems — growing but unprofitable,full
FORM,quantum,Quantum / frontier compute,Semi probe cards; quantum test equipment niche,full
FTNT,cyber,Cybersecurity & digital trust,Network security appliances SD-WAN and SASE,full
FTV,auto,Industrial automation & robotics,Fortive industrial instrumentation and healthcare diagnostics spin mix,full
FRSH,cyber,Cybersecurity & digital trust,Freshservice / ITSM cloud — SMB upmarket,full
FCEL,energy,Energy transition & grids,Fuel cells — stationary power niche,screen_only
GE,auto,Industrial automation & robotics,Aerospace engines and power — LEAP cycle and services mix,full
GEV,energy,Energy transition & grids,Gas turbines wind and grid equipment — $163B backlog from GE spinoff,full
GEA.DE,auto,Industrial automation & robotics,Process engineering and food automation (Xetra),full
GEN,cyber,Cybersecurity & digital trust,Consumer and enterprise security brands rollup,full
GNRC,auto,Industrial automation & robotics,Backup generators — outage and grid fragility,full
GD,auto,Industrial automation & robotics,Gulfstream plus combat systems shipbuilding,full
GMAB.CO,health,Health Tech,Antibody engineering platform — bispecific and ADC (Copenhagen),full
GILD,health,Healthcare innovation & AI in medicine,HIV and liver — cell therapy option,screen_only
DNA,health,Health Tech,Ginkgo cell engineering — revenue quality debate,full
GPN,fintech,Fintech & digital money,Global Payments — Genius and B2B software,screen_only
GFS,ai,AI infra & compute,GlobalFoundries — specialty and mature-node foundry,full
GSAT,quantum,Quantum / frontier compute,Globalstar — satellite IoT and Apple partnership,full
GS,fintech,Fintech & digital money,Investment bank — trading and advisory cycle,screen_only
GGG,auto,Industrial automation & robotics,Graco fluid handling pumps — industrial coatings,full
GSK,health,Health Tech,Vaccines HIV franchise and specialty pharma (NYSE ADR),full
HAL,energy,Energy transition & grids,Oilfield services pressure pumping — cycle leverage,full
HLMA.L,auto,Industrial automation & robotics,Safety environmental and health sensors (LSE),full
HEI.A,auto,Industrial automation & robotics,Heico — aerospace aftermarket parts and acquisitions,full
HES,energy,Energy transition & grids,Guyana growth — Chevron merger,screen_only
HEXA-B.ST,auto,Industrial automation & robotics,Measurement sensors and geospatial — Swedish (Stockholm),full
HXL,auto,Industrial automation & robotics,Carbon fibre composites for aerospace structures,full
HIK.L,health,Health Tech,Generics injectables and branded pharma — UK-listed (LSE),full
HLT,fintech,Fintech & digital money,Premium hotels — fee stream and pipeline,screen_only
HOLX,health,Health Tech,Diagnostics imaging and surgical women's health,full
HON,auto,Industrial automation & robotics,Controls and diversified industrial automation,full
HUBS,cyber,Cybersecurity & digital trust,HubSpot — SMB CRM and marketing,screen_only
HUM,health,Health Tech,Medicare Advantage star ratings risk,full
HII,auto,Industrial automation & robotics,US Navy shipbuilding — carrier submarine backlog,full
ICHR,ai,AI infra & compute,Fluid delivery systems for semiconductor manufacturing,full
IEX,auto,Industrial automation & robotics,IDEX precision pumps and dispensing,full
ITW,auto,Industrial automation & robotics,Diversified industrial components,full
ILMN,health,Health Tech,Sequencing installed base — consumable pull-through,full
IMI.L,auto,Industrial automation & robotics,Flow control and automation for critical processes (LSE),full
IMO,energy,Energy transition & grids,Canadian refining and upstream,screen_only
PI,ai,AI infra & compute,Wireless power and GaN — consumer and industrial,full
INDI,quantum,Quantum / frontier compute,indie Semiconductor auto edge — ADAS content,full
IFX.DE,ai,AI infra & compute,Power semiconductors for AI auto and industrial (Xetra),full
INFQ,quantum,Quantum / frontier compute,Infleqtion — quantum sensing and computing hardware,full
IR,auto,Industrial automation & robotics,Industrial compressors and tools,full
INOD,ai,AI infra & compute,Data engineering / AI data prep software microcap,full
PODD,health,Health Tech,Omnipod insulin pump ecosystem — Mobi next generation,full
INTC,ai,AI infra & compute,CPU and foundry turnaround — AI PC and custom silicon option,screen_only
NTLA,quantum,Quantum / frontier compute,CRISPR gene editing — in vivo programs,screen_only
ICE,fintech,Fintech & digital money,Exchanges and data — mortgage tech,screen_only
IBM,quantum,Quantum / frontier compute,Services plus small quantum research franchise,full
INTU,fintech,Fintech & digital money,SMB tax and accounting AI assistants,screen_only
LUNR,quantum,Quantum / frontier compute,Intuitive Machines — lunar lander programs,full
ISRG,health,Health Tech,Da Vinci and Ion robotic surgery systems — procedure growth,full
IONQ,quantum,Quantum / frontier compute,Trapped-ion quantum hardware — largest cash runway in pure-play quantum,full
IQE.L,quantum,Quantum / frontier compute,Compound semiconductor wafers — photonics and quantum (LSE),full
IREN,energy,Energy transition & grids,Bitcoin miner pivoting to AI data centre power,screen_only
IRDM,quantum,Quantum / frontier compute,Iridium — LEO voice and IoT constellation,full
ITT,auto,Industrial automation & robotics,Motion flow control — defense and industrial,full
JBL,ai,AI infra & compute,EMS diversified — AI server and appliance builds,full
JD,fintech,Fintech & digital money,China retail logistics and health spin,screen_only
JNJ,health,Health Tech,Pharma medtech consumer diversified — patent cliffs matter,full
JCI,auto,Industrial automation & robotics,Building controls and OpenBlue smart buildings,full
JPM,fintech,Fintech & digital money,Money centre bank — NII and investment banking,screen_only
KMI,energy,Energy transition & grids,Natural gas pipelines — fee-based cash flows,full
KION.DE,auto,Industrial automation & robotics,Forklift warehouse automation and supply chain (Xetra),full
KLAC,ai,AI infra & compute,Process control and inspection in WFE,full
KNEBV.HE,auto,Industrial automation & robotics,Elevators escalators and maintenance services (Helsinki),full
KTOS,auto,Industrial automation & robotics,Unmanned systems and C5ISR — defense tech integrator,full
KLIC,quantum,Quantum / frontier compute,Kulicke & Soffa wire bond packaging equipment,full
KULR,quantum,Quantum / frontier compute,Thermal management for batteries and space hardware,full
LHX,auto,Industrial automation & robotics,Defense electronics post-L3Harris merger integration,full
LH,health,Health Tech,LabCorp diagnostics plus drug development,full
LRCX,ai,AI infra & compute,Wafer fabrication equipment (WFE),full
LSCC,ai,AI infra & compute,Low-power FPGAs for edge and industrial acceleration,full
LR.PA,energy,Energy transition & grids,Electrical infrastructure for data centres and grids (Euronext Paris),full
LDOS,auto,Industrial automation & robotics,Leidos — defense IT and engineering services,full
LDO.MI,auto,Industrial automation & robotics,Italian defence helicopters electronics and cyber (Milan),full
LWLG,ai,AI infra & compute,Lightwave Logic — photonic polymers for interconnect,full
LECO,auto,Industrial automation & robotics,Lincoln Electric welding automation,full
LMT,auto,Industrial automation & robotics,Defense prime — missiles space and aero structures,full
LONN.SW,health,Health Tech,CDMO for biotech and pharma manufacturing (Swiss),full
LITE,ai,AI infra & compute,Lumentum — optical components for AI networking,screen_only
MPC,energy,Energy transition & grids,Refining and midstream logistics — crack spread exposure,full
MAR,fintech,Fintech & digital money,Hotel franchisor — net rooms growth,screen_only
MRVL,ai,AI infra & compute,Custom AI silicon and high-speed networking ASICs,full
MTZ,energy,Energy transition & grids,Infrastructure and clean energy construction — fastest growing EPC,full
MXL,ai,AI infra & compute,Broadband and connectivity mixed-signal — DOCSIS and fiber,full
MDA.TO,quantum,Quantum / frontier compute,MDA Space — satellite systems and robotics (TSX),full
MDT,health,Health Tech,Medtronic devices — GLP-1 overhang on obesity devices,full
MEL.BR,ai,AI infra & compute,Automotive and industrial sensor ICs (Brussels),full
MELI,fintech,Fintech & digital money,MercadoLibre — commerce and fintech flywheel,screen_only
MRK,health,Health Tech,Keytruda franchise duration — oncology concentration,full
HOLO,quantum,Quantum / frontier compute,Micro-cap hardware; highly speculative,full
MU,ai,AI infra & compute,High-bandwidth memory and DRAM for AI servers,full
MVIS,quantum,Quantum / frontier compute,MicroVision lidar MEMS — speculative liquidity,full
MRNA,health,Health Tech,mRNA platform vaccines and therapeutics — binary pipeline risk,full
MOH,health,Health Tech,Molina Medicaid pure-play — regulatory cap,full
MNTS,quantum,Quantum / frontier compute,Momentus — in-space transportation — high dilution risk,full
MNDY,cyber,Cybersecurity & digital trust,Monday work OS — workflow automation with security posture,full
MDB,cyber,Cybersecurity & digital trust,Document database — developer-led adoption,full
MPWR,ai,AI infra & compute,Power management ICs for AI server racks and GPUs,full
MCO,fintech,Fintech & digital money,Moody's — ratings cycle and KYC analytics,screen_only
MS,fintech,Fintech & digital money,Wealth management — AUM and banking,screen_only
MPLX,energy,Energy transition & grids,Marathon midstream — dropdown MLP,screen_only
MSCI,fintech,Fintech & digital money,Indexes and ESG analytics — subscription model,screen_only
NGG,energy,Energy transition & grids,UK and US electricity and gas transmission grid operator (NYSE ADR),full
NVTS,ai,AI infra & compute,Navitas — GaN power ICs for data centre and EV,screen_only
NCC.L,cyber,Cybersecurity & digital trust,UK cyber consulting and managed security (LSE),full
NBIS,ai,AI infra & compute,Nebius — AI cloud GPU infrastructure spin narrative,screen_only
NEOEN.PA,energy,Energy transition & grids,French renewable energy developer solar wind storage (Euronext Paris),full
NEP,energy,Energy transition & grids,NextEra Energy Partners renewables dropdown story,full
NFLX,ai,AI infra & compute,Streaming — content ROI and ad tier,screen_only
NEX.PA,energy,Energy transition & grids,Power and fibre optic cables — electrification play (Euronext Paris),full
NEE,energy,Energy transition & grids,Regulated utility and renewables developer,full
LASR,quantum,Quantum / frontier compute,Luminar lidar — auto OEM design-in path,full
NDX1.DE,energy,Energy transition & grids,Nordex wind turbine manufacturer (Xetra),full
NOD.OL,ai,AI infra & compute,Ultra-low power wireless chip design for IoT (Oslo),full
NDSN,auto,Industrial automation & robotics,Nordson precision dispensing and industrial coatings,full
NSC,auto,Industrial automation & robotics,East coast rail — service recovery,screen_only
NOC,auto,Industrial automation & robotics,Defense prime — bombers UAVs and space,full
NOV,energy,Energy transition & grids,Offshore rig equipment — cycle leverage,screen_only
NVMI,ai,AI infra & compute,Metrology for advanced packaging and CMP process control,full
NVS,health,Healthcare innovation & AI in medicine,Radioligand and neuroscience pipeline,screen_only
NOVN.SW,health,Health Tech,Diversified pharma pipeline — cardiovascular oncology neuro (Swiss),full
NVAX,health,Health Tech,Novavax vaccine platform — funding and execution,full
NVO,health,Health Tech,GLP-1 agonist leader Ozempic and Wegovy — LLY rival (NYSE ADR),full
NRG,energy,Energy transition & grids,Retail power plus generation — merchant spread,full
NU,fintech,Fintech & digital money,LatAm neobank — Brazil and Mexico expansion,screen_only
SMR,energy,Energy transition & grids,SMR developer — licensing and power purchase risk,full
NVDA,ai,AI infra & compute,AI accelerators and data-centre GPU exposure,full
OXY,energy,Energy transition & grids,Permian operator plus carbon capture narrative,full
OKLO,energy,Energy transition & grids,Advanced fission developer — milestone equity story,full
OKTA,cyber,Cybersecurity & digital trust,Identity and access management,full
ON,ai,AI infra & compute,Power discretes and SiC for electrification and DC systems,full
ONDAS,quantum,Quantum / frontier compute,Ondas — autonomous systems and rail wireless,screen_only
OKE,energy,Energy transition & grids,NGL fractionation and midstream services,full
ONTO,quantum,Quantum / frontier compute,Onto metrology and inspection for advanced nodes,full
ORCL,ai,AI infra & compute,OCI GPU cloud and database AI workloads,screen_only
ORSTED.CO,energy,Energy transition & grids,Offshore wind global leader (Copenhagen),full
OTIS,auto,Industrial automation & robotics,Elevators service moat — China mix,full
OXIG.L,quantum,Quantum / frontier compute,Cryogenics and quantum components — enabling hardware (LSE),full
PACB,quantum,Quantum / frontier compute,Long-read sequencing — competitive pressure,screen_only
PCG,energy,Energy transition & grids,PG&E — California load and safety,screen_only
PD,cyber,Cybersecurity & digital trust,PagerDuty incident response — SRE tooling,full
PLTR,auto,Industrial automation & robotics,Gov and enterprise AI platforms — contract wins and margins,full
PANW,cyber,Cybersecurity & digital trust,Enterprise firewall and cloud security platform consolidation,full
PH,auto,Industrial automation & robotics,Hydraulics and motion control — aerospace exposure,full
PYPL,fintech,Fintech & digital money,Payments scale — margin and take-rate recovery,screen_only
PDD,ai,AI infra & compute,Temur — cross-border commerce growth,screen_only
PNR,auto,Industrial automation & robotics,Pentair water treatment and pool equipment,full
PFE,health,Health Tech,Post-COVID oncology pipeline rebuild — execution risk,full
PSX,energy,Energy transition & grids,Phillips 66 refining plus midstream CPChem,full
PLAB,ai,AI infra & compute,Photomasks — lithography consumables,full
PL,quantum,Quantum / frontier compute,Planet Labs — daily Earth observation data,full
PLUG,energy,Energy transition & grids,Hydrogen — cash burn and green H2,screen_only
POWI,ai,AI infra & compute,Power conversion ICs — efficiency regulation tailwind,full
PPL,energy,Energy transition & grids,Kentucky and Pennsylvania wires,screen_only
PRY.MI,energy,Energy transition & grids,Submarine and power cables for grid buildout (Milan),full
QRVO,ai,AI infra & compute,RF connectivity and defense/aerospace semi exposure,full
QCOM,ai,AI infra & compute,Handset RF plus AI edge inference — licensing mix,full
QLYS,cyber,Cybersecurity & digital trust,Vulnerability management SaaS,full
PWR,energy,Energy transition & grids,Grid construction and electrical infrastructure — licensed labor moat,full
QUBT,quantum,Quantum / frontier compute,Quantum computing micro-cap hardware,full
QS,quantum,Quantum / frontier compute,Solid-state battery — technical milestone risk,screen_only
DGX,health,Health Tech,Quest Diagnostics lab volumes — pricing,full
RMBS,ai,AI infra & compute,Memory interface IP and chips — HBM ecosystem adjacency,full
RXRX,health,Health Tech,Recursion AI drug discovery — compute spend,full
RDW,auto,Industrial automation & robotics,Space systems integrator — NASA and defense missions,full
REGN,health,Health Tech,Dupixent franchise Libtayo and obesity pipeline — net cash fortress,full
RSW.L,auto,Industrial automation & robotics,Precision measurement and additive manufacturing (LSE),full
RSG,energy,Energy transition & grids,Waste collection pricing — route density,screen_only
RMD,health,Health Tech,ResMed sleep apnea devices — GLP-1 competitive readthrough,full
RHM.DE,auto,Industrial automation & robotics,German defence vehicles and ammunition — fastest growing (Xetra),full
RGTI,quantum,Quantum / frontier compute,Superconducting quantum systems — minimal revenue,full
HOOD,fintech,Fintech & digital money,Retail brokerage and crypto trading,screen_only
RBLX,ai,AI infra & compute,Roblox — UGC platform engagement,screen_only
RKLB,quantum,Quantum / frontier compute,Rocket Lab — launch and space systems,full
ROK,auto,Industrial automation & robotics,Factory automation PLCs and industrial software,full
ROG.SW,health,Health Tech,Diagnostics and oncology pharma — global leader (Swiss),full
RR.L,energy,Energy transition & grids,Small modular nuclear reactors and aerospace engines (LSE),full
ROP,auto,Industrial automation & robotics,Roper software rollup — niche vertical SaaS,full
RCL,fintech,Fintech & digital money,Cruise — pricing power post-pandemic,screen_only
RTX,auto,Industrial automation & robotics,Pratt engines plus Raytheon missiles mix,full
RWE.DE,energy,Energy transition & grids,German utility pivoting to renewables (Xetra),full
